name1,name2,street1,street2,city,state,zip,phone,intake1,intake2,intake1a,intake2a,service_code_info,full_address,location,latitude,longitude,GEOID,STATE,COUNTY,TRACT,BLOCK
Bronx Psychiatric Center,BPC White Plains Road Clinic/ACT Prog,3050 White Plains Road,,Bronx,NY,10467,929-348-4492,,,,,SA MH SUMH * OP * OMH * CHLOR CLOZA OLANZ RISPE NRT NSC ANTPYCH * AT CBT GT IPT * PEON PEOFF * STG * CLF MC MD PI SI SMHA * PA * GL CJ HV SMI * STU * HS PEER * TCC * SMPD * YAD ADLT SNR * AH SP FX * F17 F36 * VAPN * ACT COOT DEC FPSY PRS SEMP VRS SPS ES,"3050 White Plains Road, Bronx, NY 10467","3050, White Plains Road, Williams Bridge, The Bronx, Bronx County, City of New York, New York, 10467, United States",40.8704734,-73.8668342,360050338021002,36,005,033802,1002
Childrens Aid Society,Bronx Health Services,910 East 172Nd Street,3rd Floor,Bronx,NY,10460,347-767-2200,,347-767-2212,,,MH * OP * OMH * CBT IPT TELE * PVTN * MD SF SI SWFS * SS * TAY GL TRMA PTSD SED * STU * SMON * CHLD YAD * AH SP * VAPP * FPSY IPC SPS,"910 East 172Nd Street, Bronx, NY 10460","910, East 172nd Street, Charlotte Gardens, The Bronx, Bronx County, City of New York, New York, 10460, United States",40.834067,-73.890111,360050155002005,36,005,015500,2005
Graham Windham,Mental Health and Wellness Center,1946 Webster Avenue,1st Floor,Bronx,NY,10457,212-368-4100,,,,,MH * OP * OMH * CBT CFT GT IPT TELE * PVTN * MD * TAY TRMA PTSD SED * SMOP * CHLD YAD * SP * VAPP * FPSY TPC,"1946 Webster Avenue, Bronx, NY 10457","1946, Webster Avenue, Tremont, The Bronx, Bronx County, City of New York, New York, 10457, United States",40.8489651,-73.9000184,360050379002004,36,005,037900,2004
Jewish Board,Community Mental Health Center,2488 Grand Concourse,Suite 2000,Bronx,NY,10458,718-881-7600 x51438,844-663-2255,,,,MH SUMH * OP * CMHC * ANTPYCH * CBT CFT DBT GT IPT TELE * CIT * PVTN * CMHG CSBG MC MD PI SF SI * CO * STU * PEER * TCC * SMON * CHLD YAD ADLT SNR * AH SP * VAPN * COOT CM SPS,"2488 Grand Concourse, Bronx, NY 10458","Heart to Heart Home Care, 2488, Grand Concourse, Fordham, The Bronx, Bronx County, City of New York, New York, 10458, United States",40.8620801,-73.8969289,360050237021000,36,005,023702,1000
Jewish Child Care Association,,425 Westchester Avenue,,Bronx,NY,10455,718-742-8550,,,,,MH * OP * OMH * ANTPYCH * CBT CFT DBT GT IPT TELE * PEOFF * PVTN * CLF MD OSF PI SF SMHA SWFS * TAY GL TRMA PTSD SED * STU * MST LABT * PEER * SMON * CHLD YAD * AH SP * VAPN * ACT COOT FPSY PRS SEMP TPC VRS CM,"425 Westchester Avenue, Bronx, NY 10455","425, Westchester Avenue, The Bronx, Bronx County, City of New York, New York, 10455, United States",40.8165318,-73.9160072,360050071002009,36,005,007100,2009
Montefiore Medical Center,Psychiatric Inpatient Service,111 East 210Th Street,Klau 2,Bronx,NY,10467,718-920-4736,,,,,SA MH SUMH * HI * IPSY * CHLOR FLUPH HALOP PERPH ARIPI BREXP CARIP CLOZA LURAS OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT CFT DBT ECT GT IDD IPT AIM * PEON * PVTN * MC MD PI SF SI * SMI * STU * HIVT STDT TBS MST LABT * TCC * SMON * YAD ADLT SNR * AH * VAPN * CDM COOT DEC FPSY IMR PRS IPC SPS,"111 East 210Th Street, Bronx, NY 10467","Montefiore Medical Center West Campus Moses Division Hospital, 111, East 210th Street, Norwood, The Bronx, Bronx County, City of New York, New York, 10467, United States",40.8800853,-73.8798439,360050421001000,36,005,042100,1000
Morris Heights Health Center,Harrison Circle,57 West Burnside Avenue,Level B-1,Bronx,NY,10453,718-839-8900 x3333,,,,,MH SUMH * OP * OMH * CHLOR FLUPH HALOP THIOR TRIFL CLOZA OLANZ OLANZF QUETI RISPE NRT NSC ANTPYCH * AT CBT CFT DBT EMDR GT IDD IPT TELE * CIT WI * PVTN * FQHC * CLF CMHG MC MD OSF PI SF SI * PA SS * TAY SE GL VET ADM MF CJ CO HV DV TRMA PTSD SED SMI * STU * TCC * SMON * CHLD YAD ADLT SNR * SP * VAPN * CDM FPSY IMR IPC SPS,"57 West Burnside Avenue, Bronx, NY 10453","57, West Burnside Avenue, Tremont, The Bronx, Bronx County, City of New York, New York, 10453, United States",40.8544292,-73.909615,360050251007000,36,005,025100,7000
Morris Heights Health Center,Walton Avenue,25 East 183Rd Street,,Bronx,NY,10453,718-839-8900 x3333,,,,,MH SUMH * OP * OMH * CHLOR FLUPH HALOP THIOR TRIFL CLOZA OLANZ OLANZF QUETI RISPE NRT NSC ANTPYCH * AT CBT CFT DBT EMDR GT IDD IPT TELE * CIT WI * PVTN * FQHC * CLF CMHG MC MD OSF PI SF SI * PA SS * TAY SE GL VET ADM MF CJ CO HV DV TRMA PTSD SED SMI * STU * TCC * SMON * CHLD YAD ADLT SNR * SP * VAPN * CDM FPSY SPS,"25 East 183Rd Street, Bronx, NY 10453","25, East 183rd Street, Fordham, The Bronx, Bronx County, City of New York, New York, 10468, United States",40.8586746,-73.9029225,360050239004000,36,005,023900,4000
Nao Medical,,932 East 174Th Street,,Bronx,NY,10460,917-970-2493,,,,,SA MH SUMH * OP * OMH * NRT NSC ANTPYCH * CBT IDD IPT KIT TELE * PEOFF * PVTP * MC MD PI SF SI * TAY SE GL VET ADM MF CO HV DV TRMA ALZ PED PEFP PTSD SMI * STU * HIVT STDT TBS MST HBT HCT LABT * TCC * SMON * CHLD YAD ADLT SNR * SP FX * F36 * VAPN * AOT CDM DEC IMR IPC,"932 East 174Th Street, Bronx, NY 10460","932, East 174th Street, Charlotte Gardens, The Bronx, Bronx County, City of New York, New York, 10460, United States",40.8369062,-73.8872552,360050161004001,36,005,016100,4001
New York City Childrens Center,Bronx Day Treatment Programs,595 Gerard Avenue,,Bronx,NY,10451,929-348-4560,718-264-4557,718-613-3056,,,SA MH SUMH * OP PHDT * PH * NRT NSC ANTPYCH * CBT CRT CFT DBT GT IDD IPT TELE AIM * STG * MD PI SI SMHA * CO PTSD SED * STU * MST LABT * PEER * TCC * SMON * CHLD YAD * AH SP * VAPN * AOT COOT DEC FPSY PRS VRS CM SPS ES,"595 Gerard Avenue, Bronx, NY 10451","595, Gerard Avenue, The Bronx, Bronx County, City of New York, New York, 10451, United States",40.8217819,-73.9282707,360050063016010,36,005,006301,6010
New York City Childrens Center,Bronx Inpatient,1300 Waters Place,State Psychiatric Center,Bronx,NY,10461,718-264-4500,718-264-4934,,,,SA MH SUMH * HI * PSY * NRT NSC ANTPYCH * AT CBT CRT CFT DBT GT IDD IPT AIM * STG * MD PI SI SMHA * CO TRMA PTSD SED * STU * HIVT STDT TBS MST HBT HCT LABT * PEER * TCC * SMON * CHLD * AH SP * VAPN * AOT COOT DEC FPSY ICM PRS VRS CM IPC SPS ES,"1300 Waters Place, Bronx, NY 10461","1300, Waters Place, Middletown, The Bronx, Bronx County, City of New York, New York, 10461, United States",40.8463667,-73.8389731,360050284001003,36,005,028400,1003
NYC HHC North Central Bronx Hospital,ACT Program,3424 Kossuth Avenue,,Bronx,NY,10467,718-519-4701,718-519-3100,,,,SA MH * OP * IPSY * HALOP ARIPI CLOZA OLANZ OLANZF PALIP QUETI RISPE ANTPYCH * CBT GT IDD IPT TELE AIM * CIT PEON PEOFF WI * LCCG * FQHC * CMHG MC MD PI SI SMHA * PA * TAY SE CO SMI * STU * MST LABT * PEER * TCC * SMON * YAD ADLT SNR * VAPN * ACT AOT DEC FPSY LAD PRS SH VRS CM SPS,"3424 Kossuth Avenue, Bronx, NY 10467","North Central Bronx Hospital, 3424, Kossuth Avenue, Norwood, The Bronx, Bronx County, City of New York, New York, 10467, United States",40.8803581,-73.8813965,360050421001000,36,005,042100,1000
NYC/HHC North Central Bronx Hospital,Inpatient Psychiatric Unit,3424 Kossuth Avenue,,Bronx,NY,10467,718-519-4864 x3500,718-519-3030,,,,SA MH SUMH * HI OP PHDT * IPSY * CHLOR FLUPH HALOP PERPH THIOR ARIPI CLOZA OLANZ PALIP RISPE ZIPRA NRT NSC ANTPYCH * AT CBT CFT DBT IDD IPT TELE * CIT PEOFF WI * LCCG * FQHC * CMHG MC MD PI SF SI SMHA * PA * TAY SE GL VET ADM MF CJ CO HV TRMA TBI ALZ PTSD SMI * STU * MST LABT * TCC * SMON * CHLD YAD ADLT SNR * SP * VAPN * ACT CDM COOT DEC FPSY IMR LAD IPC,"3424 Kossuth Avenue, Bronx, NY 10467","North Central Bronx Hospital, 3424, Kossuth Avenue, Norwood, The Bronx, Bronx County, City of New York, New York, 10467, United States",40.8803581,-73.8813965,360050421001000,36,005,042100,1000
NYC/HHC North Central Bronx Hospital,Partial Hospitalization Program,3424 Kossuth Avenue,11th Floor,Bronx,NY,10467,718-519-2439,718-519-3440,,,,SA MH SUMH * HI OP PHDT * OMH * CHLOR FLUPH HALOP PERPH THIOR ARIPI CLOZA OLANZ PALIP RISPE ZIPRA NRT NSC ANTPYCH * AT CBT CFT GT IDD IPT * CIT PEOFF WI * LCCG * FQHC MHC * CSBG SF SI SMHA * PA * TAY SE GL VET ADM MF CJ CO HV TRMA TBI ALZ PED PTSD SMI * STU * MST LABT * TCC * SMON * CHLD YAD ADLT SNR * SP * VAPN * ACT COOT DEC FPSY PRS CM IPC SPS,"3424 Kossuth Avenue, Bronx, NY 10467","North Central Bronx Hospital, 3424, Kossuth Avenue, Norwood, The Bronx, Bronx County, City of New York, New York, 10467, United States",40.8803581,-73.8813965,360050421001000,36,005,042100,1000
NY Pychotherapy and Counseling Ctr,Bronx Child and Family MH Center,579 Courtlandt Avenue,,Bronx,NY,10451,718-553-1100,,,,,MH SUMH * OP * OMH * CHLOR FLUPH HALOP LOXAP PERPH TRIFL ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT CFT DBT IDD IPT TELE * PVTN * MC MD SI * TAY SE GL CO DV TRMA PTSD SED SMI * STU * MST LABT * TCC * SMPD * CHLD YAD ADLT SNR * AH SP FX * F17 F19 F28 F67 * VPPD * AOT COOT FPSY CM SPS,"579 Courtlandt Avenue, Bronx, NY 10451","579, Courtlandt Avenue, Melrose, The Bronx, Bronx County, City of New York, New York, 10451, United States",40.8174554,-73.919394,360050065003000,36,005,006500,3000
Postgraduate Center for MH Inc,PROS,1775 Grand Concourse Street,8th Floor,Bronx,NY,10453,212-560-6700 x402,,,,,SA MH SUMH * OP * OMH * CHLOR DROPE FLUPH HALOP LOXAP PERPH PROCH THIOT ARIPI CLOZA OLANZ OLANZF PALIP QUETI RISPE NSC ANTPYCH * CBT CFT GT IDD IPT TELE * PVTN * MHC * CLF MC MD PI SF SI SMHA * SS * SE CO SMI * STU * LABT * PEER * SMON * YAD ADLT SNR * AH SP * VAPN * AOT COOT FPSY PRS SEMP VRS CM IPC SPS,"1775 Grand Concourse Street, Bronx, NY 10453",,,,,,,,
Puerto Rican Family Institute Inc,Bronx Mental Health Clinic,1420 Stebbins Avenue,,Bronx,NY,10459,718-299-3045 x3226,718-299-3045 x3221,718-299-3045 x3227,,,MH * OP * OMH * CBT CFT DBT GT IPT TELE * PVTN * MC MD PI SF SI * SS * TAY SE GL CJ TRMA PTSD * STU * PEER * SMON * CHLD YAD ADLT SNR * SP * VAPN * FPSY SPS,"1420 Stebbins Avenue, Bronx, NY 10459","1420, Stebbins Avenue, Charlotte Gardens, The Bronx, Bronx County, City of New York, New York, 10459, United States",40.8336491,-73.8941439,360050153001005,36,005,015300,1005
Vida Guidance Center A Division of UHP,,4419 3Rd Avenue,,Bronx,NY,10457,718-364-7700 x3,718-364-7700,,,,MH SUMH * OP * OMH * CHLOR FLUPH HALOP LOXAP PERPH ARIPI ASENA BREXP CARIP CLOZA LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT CFT DBT GT IDD IPT TELE * CIT * STG * FQHC * MC MD SF SI SWFS * PA SS * TAY SE GL VET ADM MF CJ CO HV TRMA PTSD SED SMI * STU * LABT * TCC * SMOP * CHLD YAD ADLT SNR * SP * VAPP * FPSY CM SPS,"4419 3Rd Avenue, Bronx, NY 10457","3rd Avenue, The Bronx, Bronx County, City of New York, New York, 10451, United States",40.8160695,-73.9176365,360050065004003,36,005,006500,4003
ACQC Brooklyn Satellite,,475 Atlantic Avenue,3rd Floor,Brooklyn,NY,11217,718-896-2500,718-896-2500 x5735,,,,SA MH SUMH * OP * OMH * FLUPH HALOP PERPH ARIPI BREXP LURAS OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * CBT CFT IDD IPT TELE * CIT * PVTN * MC MD PI SF SI SMHA * PA SS * GL HV * STU * HIVT STDT HBT HCT * PEER * TCC * SMOP * CHLD YAD ADLT SNR * AH * VAPP * COOT FPSY CM SPS,"475 Atlantic Avenue, Brooklyn, NY 11217","475, Atlantic Avenue, Boerum Hill, Brooklyn, Kings County, City of New York, New York, 11217, United States",40.6860911,-73.9820532,360470039001002,36,047,003900,1002
Beverley Mack Harry,Consulting Services Inc,738 Crown Street,1st Floor,Brooklyn,NY,11213,718-363-0100,,,,,MH SUMH * OP * OMH * ANTPYCH * AT CBT CFT DBT GT IDD IPT TELE * PEON WI * PVTP * CLF MC MD MI OSF PI SCJJ SF SI SMHA SWFS VAF * SS * TAY SE GL VET HV DV TRMA TBI PTSD SED SMI * STU * PEER * TCC * SMOP * CHLD YAD ADLT SNR * VAPP * COOT DEC FPSY PRS TPC IPC SPS,"738 Crown Street, Brooklyn, NY 11213","738, Crown Street, Crown Heights, Brooklyn, Kings County, City of New York, New York, 11213, United States",40.6651065,-73.933185,360470355001002,36,047,035500,1002
Brookdale Hospital Medical Center,Department of Psychiatry,1 Brookdale Plaza,12th Floor,Brooklyn,NY,11212,718-240-6330,718-240-6168,,,,SA MH SUMH * HI OP * IPSY * HALOP ARIPI BREXP CLOZA LURAS OLANZ PALIP QUETI RISPE NRT NSC ANTPYCH * AT CBT CFT GT IDD IPT TELE AIM * CIT PEON PEOFF WI * PVTN * CLF MC MD PI SF SI * PA SS * TAY SE GL CO HV TRMA PEFP PTSD SED SMI * STU * MST LABT * TCC * SMON * CHLD YAD ADLT SNR * AH SP FX * F4 F17 F19 F25 F28 F36 F47 F70 F81 * VAPN * COOT DEC FPSY IPC SPS,"1 Brookdale Plaza, Brooklyn, NY 11212",,,,,,,,
Catholic Charities Neighborhood Servs,Flatbush Behavioral Health Center,1623 Flatbush Avenue,,Brooklyn,NY,11210,718-377-5755,,,,,SA MH SUMH * OP * CBHC * CHLOR FLUPH HALOP LOXAP PERPH ARIPI CARIP CLOZA OLANZF QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT CFT GT IDD IPT TELE * CIT PEON PEOFF * PVTN * CMHG MC MD PI PCF SF SI SMHA SWFS * VET CO SMI * STU * PEER * TCC * SMON * CHLD YAD ADLT SNR * VAPN * COOT CM SPS,"1623 Flatbush Avenue, Brooklyn, NY 11210","Retro Fitness, 1623, Flatbush Avenue, Brooklyn Community District 17, Brooklyn, Kings County, City of New York, New York, 11210, United States",40.6311268,-73.9448869,360470776001003,36,047,077600,1003
Coalition for Hispanic Family Services,Bonding Links Enlazos Familiares CCR,63 Schaefer Street,,Brooklyn,NY,11207,718-443-5875,,,,,MH SUMH * RES * RTCC * CBT GT * PVTN * CLF MD OSF * TRMA PTSD SED * STU * SMON * CHLD * SP * VAPN * FPSY ICM PRS CM,"63 Schaefer Street, Brooklyn, NY 11207","63, Schaefer Street, Bushwick, Brooklyn, Kings County, City of New York, New York, 11207, United States",40.6863613,-73.9113616,360470401001000,36,047,040100,1000
Coalition for Hispanic Family Services,Bonding Links/Enlazos Familiares MHC,315 Wyckoff Avenue,Suite 6,Brooklyn,NY,11237,718-497-6090 x362,718-497-6090 x360,718-497-6090 x361,,,MH SUMH * OP * OMH * CLOZA ILOPE RISPE ZIPRA ANTPYCH * AT CBT GT IPT * PVTN * MHC * CLF MD OSF SF * SS * TRMA PTSD SED * STU * SMON * CHLD * SP * VAPN * FPSY ICM TPC CM,"315 Wyckoff Avenue, Brooklyn, NY 11237","315, Wyckoff Avenue, Bushwick, Brooklyn, Kings County, City of New York, New York, 11237, United States",40.7001982,-73.9117896,360470439003000,36,047,043900,3000
Community Counseling and Mediation Inc,Youth and Family Consultation Center,25 Elm Place,2nd Floor,Brooklyn,NY,11201,718-802-0666,,,,,SA MH SUMH * OP * OMH * FLUPH HALOP PERPH TRIFL ARIPI OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * CBT CFT DBT GT IDD IPT TELE * PVTN * MC MD PI SF SI * TAY SE GL VET CJ CO HV TRMA PTSD SMI * STU * HS * TCC * SMOP * CHLD YAD ADLT SNR * SP FX * F17 F19 F36 F43 * VAPP * COOT DEC FPSY SH CM SPS,"25 Elm Place, Brooklyn, NY 11201","25, Elm Place, Downtown Brooklyn, Brooklyn, Kings County, City of New York, New York, 11201, United States",40.6894318,-73.9844157,360470037001003,36,047,003700,1003
Coney Island Hospital,Department of Behavioral Health,2601 Ocean Parkway,,Brooklyn,NY,11235,718-616-5327,718-616-5321,718-616-5333,,,SA MH SUMH * HI OP * OMH * FLUPH HALOP THIOR ARIPI CLOZA LURAS OLANZ OLANZF PALIP QUETI RISPE NRT NSC ANTPYCH * AT CBT CRT CFT DBT GT IDD IPT TELE AIM * CIT PEON PEOFF WI * STG * CLF MC MD MI OSF PI SF SI SMHA SWFS VAF * SS * TAY SE GL VET CO HV DV TRMA PEFP PTSD SED SMI * STU * MST LABT * HS PEER * TCC * SMOP * CHLD YAD ADLT SNR * AH SP FX * F4 F19 F30 F35 F42 F47 F70 * VPPD * ACT COOT DEC FPSY ICM LAD PRS SEMP VRS CM IPC SPS ES,"2601 Ocean Parkway, Brooklyn, NY 11235","NYC Health + Hospitals: South Brooklyn Health, 2601, Ocean Parkway, Gravesend, Brooklyn, Kings County, City of New York, New York, 11235, United States",40.5854595,-73.9648715,360470370003004,36,047,037000,3004
Family Center,LeeKong Health and Wellness Institute,493 Nostrand Avenue,3rd Floor,Brooklyn,NY,11216,718-230-1379 x110,718-230-1379 x140,,,,SA MH SUMH * OP * CBHC * ANTPYCH * AT CBT CFT DBT GT IDD IPT TELE * PVTN * CLF MC MD OSF PI SCJJ SEF SF SI SMHA SWFS * TAY SE VET CO HV TRMA PTSD SED SMI * STU * PEER * TCC * SMON * CHLD YAD ADLT SNR * SP * VAPN * COOT FPSY LAD CM IPC,"493 Nostrand Avenue, Brooklyn, NY 11216","Cali Convenience, 493, Nostrand Avenue, Bedford-Stuyvesant, Brooklyn, Kings County, City of New York, New York, 11216, United States",40.6806085,-73.9494862,360470249004001,36,047,024900,4001
Family Health Center at NYU Langone,Sunset Terrace,514 49Th Street,,Brooklyn,NY,11220,718-431-2600,,,,,SA MH SUMH * OP * OMH * CHLOR DROPE FLUPH HALOP LOXAP PERPH PIMOZ PROCH THIOT THIOR TRIFL ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * CBT CFT DBT GT IDD IPT TELE AIM * PVTN * FQHC * CLF MC MD PI SF SI * PA SS * CO HV TRMA PEFP PTSD SED SMI * STU * MST LABT * PEER * TCC * SMON * CHLD YAD ADLT SNR * AH SP FX * F17 * VAPN * FPSY PRS CM IPC SPS,"514 49Th Street, Brooklyn, NY 11220","Sunset Terrace Family Health Center, 514, 49th Street, Sunset Park, Brooklyn, Kings County, City of New York, New York, 11220, United States",40.6451563,-74.0092979,360470098002000,36,047,009800,2000
Health and Hospitals/Kings,Kings City Hosp Child/Adol Clinic,451 Clarkson Avenue,"Building R, 7th Floor",Brooklyn,NY,11203,718-245-2520,,,,,MH SUMH * OP * OMH * HALOP ARIPI CLOZA PALIP RISPE NRT NSC ANTPYCH * AT CBT CFT GT IPT TELE AIM * CIT PEON WI * LCCG * MD PI SF SI SWFS * PA SS * SED * STU * HIVT STDT TBS MST LABT * PEER * TCC * SMON * CHLD YAD * AH SP FX * F19 * VAPN * AOT COOT FPSY CM SPS,"451 Clarkson Avenue, Brooklyn, NY 11203","Kings County Hospital Center, 451, Clarkson Avenue, Brooklyn Community District 17, Brooklyn, Kings County, City of New York, New York, 11203, United States",40.6564684,-73.9436745,360470808001001,36,047,080800,1001
