"GEOID.x","NAME","populationE","populationM","med_incE","med_incM","whiteE","whiteM","blackE","blackM","nativeE","nativeM","asianE","asianM","total_raceE","total_raceM","poverty_totalE","poverty_totalM","poverty_belowE","poverty_belowM","white_pct","black_pct","native_pct","asian_pct","poverty_rate_pct","ZIP","name1","name2","street1","street2","city","state","phone","intake1","intake2","intake1a","intake2a","service_code_info","full_address","location","latitude","longitude","GEOID.y","STATE","COUNTY","TRACT","BLOCK","GEOID_truncated"
"10010","ZCTA5 10010",32410,2681,150288,23588,21682,2315,2753,1120,75,69,5067,987,32410,2681,30193,2667,2486,806,66.89910521444,8.49429188522061,0.231410058623882,15.6340635606294,8.23369655218097,"10010","VA NY Harbor Healthcare System","Manhattan Campus","423 East 23Rd Street",NA,"New York","NY","212-686-7500",NA,NA,NA,NA,"SA MH SUMH * HI OP * VAHC * CHLOR FLUPH HALOP LOXAP PERPH TRIFL ARIPI CARIP CLOZA LURAS OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * CBT CFT DBT ECT GT IDD IPT TELE AIM * CIT PEON WI * FED VAMC * MI PI SF VAF * SE GL VET ADM CO HV TBI ALZ PED * STU * MST LABT * HS PEER * TCC * SMON * YAD ADLT SNR * VAPN * ACT COOT DEC FPSY ICM LAD PRS SEMP SH CM IPC SPS ES","423 East 23Rd Street, New York, NY 10010","Veteran Affairs New York Harbor Healthcare System, 423, East 23rd Street, Kips Bay, Manhattan Community Board 6, Manhattan, New York County, City of New York, New York, 10010, United States",40.7370702,-73.9768987,"360610062001004",36,"061","006200",1004,"36061006200"
"10011","ZCTA5 10011",50772,2368,145934,17135,37319,2119,2345,625,60,49,4519,938,50772,2368,48929,2360,4630,828,73.5031119514693,4.61868746553218,0.118175372252423,8.90057512014496,9.46269083774449,"10011","Puerto Rican Family Institute","Manhattan Mental Health Clinic","145 West 15Th Street","5th Floor","New York","NY","212-229-6905","212-229-6942 x1972",NA,NA,NA,"MH SUMH * OP * OMH * CHLOR FLUPH HALOP PERPH THIOR ARIPI CLOZA LURAS OLANZ PALIP QUETI RISPE ZIPRA NSC ANTPYCH * CBT CFT GT IPT TELE * PEON WI * PVTN * FG MC MD PI SF SI * SS * TRMA PTSD * STU * PEER * TCC * SMON * CHLD YAD ADLT SNR * SP * VAPN * COOT FPSY CM SPS","145 West 15Th Street, New York, NY 10011","145, West 15th Street, Manhattan Community Board 4, Manhattan, New York County, City of New York, New York, 10011, United States",40.7389115,-73.9979383,"360610081003000",36,"061","008100",3000,"36061008100"
"10014","ZCTA5 10014",29461,1737,147267,15234,24159,1514,650,350,48,67,1662,447,29461,1737,29104,1737,1803,454,82.0033264315536,2.20630664268015,0.16292725976715,5.64135636943756,6.19502473886751,"10014","Greenwich House Inc","The Center for Resiliency and Wellness","27 Barrow Street","3rd Floor","New York","NY","212-242-4140 x251",NA,"212-242-4140 x249",NA,NA,"SA MH SUMH * OP * OMH * PERPH ARIPI QUETI ANTPYCH * CBT CFT DBT EMDR GT IDD IPT TELE AIM * WI * PVTN * MHC * CLF MC MD PI SF * SS * TAY SE GL VET CO HV DV TRMA PED PTSD SED SMI * STU * TCC * SMPD * CHLD YAD ADLT SNR * SP FX * F17 F28 F35 F70 * VPPD * FPSY CM SPS","27 Barrow Street, New York, NY 10014","Greenwich House, 27, Barrow Street, West Village, Manhattan, New York County, City of New York, New York, 10014, United States",40.7323308,-74.0031271,"360610067001000",36,"061","006700",1000,"36061006700"
"10016","ZCTA5 10016",54369,3189,145864,12565,34711,2443,2603,537,27,34,10521,1281,54369,3189,53101,3172,5010,927,63.8433666243631,4.7876547297173,0.049660652209899,19.351100811124,9.43485056778592,"10016","NYU Langone Hospitals","Inpatient Psychiatric Unit","550 1St Avenue","10th Floor","New York","NY","212-263-5420",NA,NA,NA,NA,"MH SUMH * HI * IPSY * CHLOR FLUPH HALOP PERPH ARIPI BREXP CARIP CLOZA LURAS OLANZ OLANZF QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT ECT GT IDD IPT * CIT PEON WI * PVTN * CLF MC MD OSF PI SF SI * STU * HIVT STDT TBS MST HBT HCT LABT * TCC * SMON * YAD ADLT SNR * AH * VAPN * CDM COOT DEC IMR PRS IPC SPS","550 1St Avenue, New York, NY 10016","Tisch Hospital, 550, 1st Avenue, Kips Bay, Manhattan Community Board 6, Manhattan, New York County, City of New York, New York, 10016, United States",40.7420735,-73.9743366,"360610062001000",36,"061","006200",1000,"36061006200"
"10016","ZCTA5 10016",54369,3189,145864,12565,34711,2443,2603,537,27,34,10521,1281,54369,3189,53101,3172,5010,927,63.8433666243631,4.7876547297173,0.049660652209899,19.351100811124,9.43485056778592,"10016","NYU Langone Hospitals","Tisch Hosp Inpatient Psychiatric Unit","530 1St Avenue","10th Floor","New York","NY","212-263-5567",NA,NA,NA,NA,"MH SUMH * HI * IPSY * CHLOR FLUPH HALOP PERPH ARIPI BREXP CARIP CLOZA LURAS OLANZ OLANZF QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT DBT ECT GT IDD IPT * CIT PEON WI * PVTN * CLF MC MD OSF PI SF SI * STU * HIVT STDT TBS MST HBT HCT LABT * TCC * SMON * YAD ADLT SNR * AH * VAPN * CDM COOT DEC IMR PRS IPC SPS","530 1St Avenue, New York, NY 10016","Schwartz Entrance, 530, 1st Avenue, Kips Bay, Manhattan Community Board 6, Manhattan, New York County, City of New York, New York, 10016, United States",40.7415914,-73.9748596,"360610062001000",36,"061","006200",1000,"36061006200"
"10016","ZCTA5 10016",54369,3189,145864,12565,34711,2443,2603,537,27,34,10521,1281,54369,3189,53101,3172,5010,927,63.8433666243631,4.7876547297173,0.049660652209899,19.351100811124,9.43485056778592,"10016","Steven A Cohen Military Family Clinic","NYU Langone Health","- - -",NA,"New York","NY","855-698-4677",NA,NA,NA,NA,"SA MH SUMH * OP * OMH * NRT NSC * CBT CRT CFT DBT GT IDD IPT TELE * PVTN * CLF PCF * TAY SE GL VET MF CO TRMA TBI PTSD * STU * TCC * SMON * CHLD YAD ADLT SNR * AH * VAPN * FPSY SPS","- - -, New York, NY 10016","City of New York, New York, United States",40.7127281,-74.0060152,"360610031002008",36,"061","003100",2008,"36061003100"
"10017","ZCTA5 10017",14486,1498,139964,25136,9949,1321,461,316,21,22,3035,502,14486,1498,14447,1498,1041,416,68.6801049288969,3.18238299047356,0.144967554880574,20.9512632886925,7.20564823146674,"10017","YAI","Center for Specialty Therapy","- - -",NA,"New York","NY","212-273-6100 x6244","212-273-6272 x0",NA,NA,NA,"MH * OP * OMH * CBT CFT GT IDD IPT TELE * PVTN * MC MD OSF PI SF SI * SMON * CHLD YAD ADLT SNR * SP FX * F17 F70 * VAPN * DEC FPSY","- - -, New York, NY 10017","City of New York, New York, United States",40.7127281,-74.0060152,"360610031002008",36,"061","003100",2008,"36061003100"
"10018","ZCTA5 10018",8659,971,149118,28258,4425,766,544,241,29,56,2558,506,8659,971,8657,971,1122,328,51.1028987180968,6.28248065596489,0.334911652615775,29.5415174962467,12.9606099110546,"10018","Community Counseling Mediation Inc","Manhattan Clinic","15 West 39Th Street","2nd Floor","New York","NY","212-564-6006","718-802-0666",NA,NA,NA,"SA MH SUMH * OP * OMH * HALOP ARIPI OLANZ QUETI RISPE NRT NSC ANTPYCH * CBT CFT DBT GT IDD IPT * CIT * PVTN * MC MD PI SF * TAY SE GL VET CJ CO HV DV TRMA TBI PEFP PTSD SED SMI * STU * TCC * SMOP * CHLD YAD ADLT SNR * SP FX * F17 * VAPP * COOT CM SPS","15 West 39Th Street, New York, NY 10018","River NYC Church, 15, West 39th Street, Midtown South, Manhattan Community Board 5, Manhattan, New York County, City of New York, New York, 10018, United States",40.7522084,-73.9834479,"360610084002000",36,"061","008400",2000,"36061008400"
"10018","ZCTA5 10018",8659,971,149118,28258,4425,766,544,241,29,56,2558,506,8659,971,8657,971,1122,328,51.1028987180968,6.28248065596489,0.334911652615775,29.5415174962467,12.9606099110546,"10018","Shiloh Consulting LLC","Outpatient Clinic","566 Fashion Avenue","Floor 4","New York","NY","212-564-7631",NA,NA,NA,NA,"SA MH SUMH * OP * OMH * FLUPH HALOP ARIPI CLOZA OLANZ PALIP NRT ANTPYCH * CBT CFT DBT GT IDD IPT TELE * PVTP * MHC * CLF MC MD PI SF SI SMHA * SS * SE GL VET CJ CO HV TRMA PEFP PTSD SMI * STU * SMOP * YAD ADLT SNR * SP * VAPP * COOT FPSY SPS","566 Fashion Avenue, New York, NY 10018",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10023","ZCTA5 10023",65706,3434,151468,15653,46750,3088,3595,726,103,101,9183,1360,65706,3434,63861,3440,4508,851,71.1502754695157,5.4713420387788,0.156758895686847,13.9758926125468,7.05908144250795,"10023","Lighthouse Guild Behavioral Health","JGB MH and MR Services","250 West 64 Street",NA,"New York","NY","212-769-7800",NA,NA,NA,NA,"MH SUMH * OP * OMH * CHLOR FLUPH HALOP PERPH THIOT THIOR TRIFL ARIPI ASENA CARIP CLOZA LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * CBT CFT DBT GT IDD IPT TELE AIM * PVTN * MC MD OSF PI PCF SF * SE TBI * STU * MST LABT * TCC * SMON * YAD ADLT SNR * SP * VAPN * CDM FPSY IPC","250 West 64 Street, New York, NY 10023","250, West 64th Street, Lincoln Square, Manhattan Community Board 7, Manhattan, New York County, City of New York, New York, 10023, United States",40.7742624,-73.9880571,"360610151011000",36,"061","015101",1000,"36061015101"
"10023","ZCTA5 10023",65706,3434,151468,15653,46750,3088,3595,726,103,101,9183,1360,65706,3434,63861,3440,4508,851,71.1502754695157,5.4713420387788,0.156758895686847,13.9758926125468,7.05908144250795,"10023","William A White Institute",NA,"20 West 74Th Street",NA,"New York","NY","212-873-0725 x26","212-873-0725 x20","212-873-0726",NA,NA,"MH * OP * OMH * CFT IPT * PVTN * SF * TAY SE GL HV TRMA PED SED * SMON * CHLD YAD ADLT SNR * VAPN * FPSY","20 West 74Th Street, New York, NY 10023","20, West 74th Street, Lincoln Square, Manhattan Community Board 7, Manhattan, New York County, City of New York, New York, 10023, United States",40.7778061,-73.9761835,"360610157001000",36,"061","015700",1000,"36061015700"
"10024","ZCTA5 10024",62774,3901,166994,16881,49311,3658,1604,381,183,178,4049,1007,62774,3901,62049,3900,5177,1331,78.5532226718068,2.55519801191576,0.291521967693631,6.4501226622487,8.34340601782462,"10024","Metropolitan Center for Mental Health",NA,"160 West 86Th Street",NA,"New York","NY","212-362-8755","646-992-3357",NA,NA,NA,"MH SUMH * OP * OMH * ARIPI BREXP CARIP LURAS OLANZ QUETI RISPE ZIPRA ANTPYCH * CBT CFT DBT GT IDD IPT TELE * PVTN * MC MD PI SF * SS * TAY SE TRMA SED SMI * SMON * CHLD YAD ADLT SNR * SP FX * F28 * VAPN * FPSY SPS","160 West 86Th Street, New York, NY 10024","160, West 86th Street, Manhattan Community Board 7, Manhattan, New York County, City of New York, New York, 10024, United States",40.7872081,-73.9744954,"360610169003000",36,"061","016900",3000,"36061016900"
"10025","ZCTA5 10025",96988,4731,106916,7394,56731,4099,10512,1764,84,77,9571,1217,96988,4731,92591,4700,13450,1616,58.4928032333897,10.8384542417619,0.0866086526168186,9.86823112137584,14.5262498514974,"10025","Bridge Inc","Bridge Diane Goldberg PROS","248 West 108Th Street",NA,"New York","NY","212-663-3000 x1329","212-663-3000 x1372",NA,NA,NA,"SA MH SUMH * OP * CMHC OMH * CHLOR FLUPH HALOP LOXAP PERPH ARIPI CLOZA LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT CRT DBT GT IDD IPT TELE AIM * PVTN * MC MD PI SF * TAY GL CO TRMA PTSD SMI * STU * HS PEER * TCC * SMPD * YAD ADLT SNR * VPPD * AOT COOT DEC FPSY LAD PRS SEMP VRS CM IPC SPS ES","248 West 108Th Street, New York, NY 10025","248, West 108th Street, Bloomingdale, Manhattan Community Board 7, Manhattan, New York County, City of New York, New York, 10025, United States",40.8024685,-73.9669628,"360610195004000",36,"061","019500",4000,"36061019500"
"10025","ZCTA5 10025",96988,4731,106916,7394,56731,4099,10512,1764,84,77,9571,1217,96988,4731,92591,4700,13450,1616,58.4928032333897,10.8384542417619,0.0866086526168186,9.86823112137584,14.5262498514974,"10025","Bridge Inc","Mental Health Clinic","248 West 108Th Street",NA,"New York","NY","212-663-3000 x1372",NA,NA,NA,NA,"SA MH SUMH * OP * CBHC * CHLOR FLUPH HALOP LOXAP PERPH ARIPI CLOZA LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * CBT DBT GT IDD IPT TELE * PVTN * MC MD PI * TAY CO TRMA PTSD SMI * STU * HS * TCC * SMPD * CHLD YAD ADLT SNR * VPPD * AOT COOT FPSY LAD PRS CM IPC SPS","248 West 108Th Street, New York, NY 10025","248, West 108th Street, Bloomingdale, Manhattan Community Board 7, Manhattan, New York County, City of New York, New York, 10025, United States",40.8024685,-73.9669628,"360610195004000",36,"061","019500",4000,"36061019500"
"10025","ZCTA5 10025",96988,4731,106916,7394,56731,4099,10512,1764,84,77,9571,1217,96988,4731,92591,4700,13450,1616,58.4928032333897,10.8384542417619,0.0866086526168186,9.86823112137584,14.5262498514974,"10025","Metropolitan Center for Mental Health",NA,"336 Central Park West",NA,"New York","NY","212-864-3666","646-992-3357",NA,NA,NA,"MH SUMH * OP * OMH * ARIPI BREXP CARIP LURAS OLANZ QUETI RISPE ZIPRA ANTPYCH * CBT CFT DBT GT IDD IPT TELE * PVTN * CMHG MC MD PI SF VAF * SS * TAY SE TRMA SED SMI * SMON * CHLD YAD ADLT SNR * SP FX * F28 * VAPN * FPSY SPS","336 Central Park West, New York, NY 10025","336, Central Park West, Manhattan Community Board 7, Manhattan, New York County, City of New York, New York, 10025, United States",40.7902597,-73.9658981,"360610177007000",36,"061","017700",7000,"36061017700"
"10025","ZCTA5 10025",96988,4731,106916,7394,56731,4099,10512,1764,84,77,9571,1217,96988,4731,92591,4700,13450,1616,58.4928032333897,10.8384542417619,0.0866086526168186,9.86823112137584,14.5262498514974,"10025","Mount Sinai Morningside","Department of Psychiatry","1090 Amsterdam Avenue","16th Floor","New York","NY","212-523-4139","212-523-8080",NA,NA,NA,"SA MH SUMH * HI OP * IPSY * CHLOR FLUPH HALOP PERPH ARIPI CARIP CLOZA LURAS OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT CFT DBT GT IDD IPT TELE AIM * CIT PEON PEOFF WI * PVTN * MC MD PI SF SI SMHA * TAY SE GL CO HV TRMA PEFP PTSD SED SMI * STU * MST LABT * PEER * TCC * SMON * CHLD YAD ADLT SNR * AH SP * VAPN * CDM COOT DEC FPSY IMR PRS IPC SPS ES","1090 Amsterdam Avenue, New York, NY 10025","Strokos Deli, 1090, Amsterdam Avenue, Morningside Heights, Manhattan Community Board 9, Manhattan, New York County, City of New York, New York, 10025, United States",40.805466,-73.9622848,"360610199003000",36,"061","019900",3000,"36061019900"
"10025","ZCTA5 10025",96988,4731,106916,7394,56731,4099,10512,1764,84,77,9571,1217,96988,4731,92591,4700,13450,1616,58.4928032333897,10.8384542417619,0.0866086526168186,9.86823112137584,14.5262498514974,"10025","Ryan Health","Mental Health","801 Amsterdam Avenue",NA,"New York","NY","212-769-7200",NA,NA,NA,NA,"MH SUMH * OP * OMH * ARIPI CLOZA LURAS OLANZ RISPE ANTPYCH * AT CBT CFT DBT GT IPT TELE AIM * PVTN * FQHC * MC MD PI PCF SF * PA SS * TAY SE TRMA SED SMI * STU * LABT * TCC * SMOP * CHLD YAD ADLT SNR * SP FX * F28 * VAPP * FPSY CM SPS ES","801 Amsterdam Avenue, New York, NY 10025","Ryan Health Women & Children's, 801, Amsterdam Avenue, Bloomingdale, Manhattan Community Board 7, Manhattan, New York County, City of New York, New York, 10025, United States",40.7958469,-73.9687558,"360610185002000",36,"061","018500",2000,"36061018500"
"10026","ZCTA5 10026",38265,2477,68831,7178,9067,1025,19229,2287,30,31,2413,798,38265,2477,38141,2465,7562,1419,23.6952828955965,50.2521886841761,0.0784006272050176,6.30602378152359,19.826433496762,"10026","Childrens Aid Society","Dunlevy Milbank Center","14-32 West 118Th Street",NA,"New York","NY","212-369-8339",NA,"212-831-9829",NA,NA,"MH * OP * OMH * CBT IPT TELE * PVTN * MD SF SI SWFS * SS * TAY GL TRMA PTSD SED * STU * SMON * CHLD YAD * AH SP * VAPP * FPSY IPC SPS","14-32 West 118Th Street, New York, NY 10026","West 118th Street, Manhattan Community Board 10, Manhattan, New York County, City of New York, New York, 10026, United States",40.8032337,-73.9484961,"360610190001001",36,"061","019000",1001,"36061019000"
"10027","ZCTA5 10027",65806,3195,63125,7297,19582,1461,23641,2117,410,195,5881,710,65806,3195,58439,3165,14221,1875,29.757165000152,35.9252955657539,0.623043491474942,8.93687505698569,24.3347764335461,"10027","VNS Health","Manhattan Geriatric Outreach","148 West 125Th Street","3rd Floor","New York","NY","212-609-1755",NA,"212-609-7788",NA,NA,"MH * OP * OMH * PVTN * CLF OSF * PA * SE * STU * SMOP * SNR * SP * VAPP * FPSY PRS ES","148 West 125Th Street, New York, NY 10027","148, West 125th Street, Manhattan Community Board 10, Manhattan, New York County, City of New York, New York, 10027, United States",40.8084473,-73.947781,"360610222002001",36,"061","022200",2001,"36061022200"
