name1,name2,street1,street2,city,state,zip,phone,intake1,intake2,intake1a,intake2a,service_code_info
Medical West,An Affiliate of the UAB Health System,995 9th Avenue SW,,Bessemer,AL,35022,205-481-7000,205-481-7145,205-481-7661,,,MH SUMH * HI * IPSY * CHLOR DROPE FLUPH HALOP PERPH PIMOZ PROCH THIOT ARIPI CLOZA LURAS OLANZ PALIP QUETI RISPE ZIPRA ANTPYCH * AT CBT GT IPT * CIT PEON * STG * MC MD PI SF SI VAF * SE * SMON * SNR * VAPN * COOT DEC PRS CM IPC
Birmingham VA Healthcare System,Birmingham East VA East Clinic,7901 Crestwood Boulevard,,Birmingham,AL,35210,205-957-5300,205-957-5300 x33550,205-933-8101 x2232,,,SA MH SUMH * OP PHDT * VAHC * FLUPH HALOP CLOZA NRT ANTPYCH * AT CBT CFT DBT EMDR GT IDD IPT TELE AIM * CIT PEON WI * FED VAMC * MC MI PI VAF * GL VET MF CO DV SMI * STU * LABT * HS PEER * TCC * SMON * YAD ADLT SNR * AH * VAPN * COOT DEC FPSY ICM LAD PRS SEMP SH VRS CM SPS ES
Eastside CMHC,Jefferson County,129 East Park Circle,,Birmingham,AL,35235,205-836-7283,,,,,MH * OP PHDT * CMHC * CHLOR FLUPH HALOP LOXAP PERPH THIOT TRIFL ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA ANTPYCH * CFT GT IPT TELE * PVTN * CLF CMHG MC MD OSF PI SF SI SMHA * SS * TAY SE CO SED SMI * STU * PEER * TCC * SMPD * CHLD YAD ADLT SNR * AH * VPPD * ACT COOT FPSY IMR PRS
Gateway,,1401 20th Street South,,Birmingham,AL,35205,205-510-2600,,,,,MH SUMH * OP * AT CFT GT IPT TELE * PVTN * MD * TAY TRMA SED * HS * SMON * CHLD YAD ADLT SNR * AH SP * VAPN * FPSY TPC CM ES
Glenwood Inc,Main Campus,150 Glenwood Lane,,Birmingham,AL,35242,205-969-2880,,,,,MH SUMH * OP PHDT RES * MSMH * CHLOR FLUPH HALOP LOXAP PERPH PIMOZ PROCH ANTPYCH * AT CBT CFT GT IDD IPT TELE * PVTN * MC MD MI OSF PI SEF SF SI SMHA SWFS * SS * TAY TRMA SED * MST LABT * SMON * CHLD YAD ADLT SNR * AH * VAPN * DEC FPSY PRS SEMP VRS ES
Hill Crest Behavioral Health Services,,6869 5th Avenue South,,Birmingham,AL,35212,205-833-9000,,800-292-8553,,,SA MH SUMH * HI RES * PSY * CHLOR FLUPH HALOP LOXAP PERPH PROCH THIOT THIOR TRIFL ARIPI ASENA CLOZA LURAS OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT CRT CFT DBT GT IDD IPT * CIT PEON WI * PVTP * CLF CMHG CSBG MC MD MI PI SF SI SMHA SWFS VAF * TAY CJ SED SMI * STU * MST LABT * TCC * SMON * CHLD YAD ADLT SNR * AH * VAPN * CDM COOT FPSY IMR PRS CM IPC SPS ES
Princeton Baptist Medical Center,,701 Princeton Avenue SW,,Birmingham,AL,35211,205-783-3650,,,,,MH * HI * IPSY * CHLOR HALOP ARIPI CLOZA LURAS OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT GT IPT TELE * WI * PVTP * CLF CMHG CSBG ITU MC MD MI OSF PI SF SI SMHA VAF * SE VET CO ALZ PTSD * STU * MST LABT * TCC * SMON * SNR * AH * VAPN * CDM COOT DEC FPSY ICM IMR PRS CM IPC SPS ES
Taproot Therapy Collective,,2025 Shady Crest Drive,2nd Floor,Birmingham,AL,35216,205-999-9240,,,,,SA MH SUMH * OP * OMH * AT CBT CFT DBT GT IPT TELE * PVTP * PI SF * SS * TAY SE GL VET ADM MF CJ CO HV TRMA TBI ALZ PED PTSD SED SMI * STU * TCC * SMON * CHLD YAD ADLT SNR * VAPN * ACT FPSY SPS
UAB Hospital,Center for Psychiatric Medicine,619 19th Street South,,Birmingham,AL,35249,205-975-2710,205-934-7008,,,,SA MH SUMH * HI OP * PSY * NRT NSC ANTPYCH * AT CBT CFT ECT EMDR GT IDD IPT KIT TMS TELE AIM * CIT PEON WI * PVTN * CLF CMHG CSBG MC MD MI OSF PI SCJJ SEF SF SI SMHA SWFS * SE GL CO TRMA ALZ PEFP PTSD SED SMI * STU * HIVT STDT TBS MST HBT HCT LABT * PEER * TCC * SMON * CHLD YAD ADLT SNR * AH SP * VAPN * ACT CDM COOT DEC FPSY ICM IMR PRS SEMP CM IPC SPS
West Alabama Mental Health Center,,401 Rodgers Street,,Butler,AL,36904,205-459-2612,800-239-2901,334-289-2410,,,SA MH SUMH * OP * CMHC * FLUPH HALOP PERPH ARIPI ASENA BREXP CLOZA OLANZ PALIP QUETI RISPE ZIPRA ANTPYCH * AT CBT CFT GT IDD IPT TELE AIM * CIT * PVTN * CLF CMHG CSBG MC MD MI OSF PI SCJJ SF SI SMHA SWFS VAF * PA SS * CO SMI * HS PEER * SMON * CHLD YAD ADLT SNR * AH * VAPN * COOT FPSY ICM SEMP SH CM SPS
Central Alabama Wellness,,151 Hamilton Lane,,Calera,AL,35040,205-651-0077,,,,,SA MH SUMH * OP PHDT RES * MSMH * CHLOR FLUPH HALOP CLOZA OLANZ RISPE ANTPYCH * AT CBT CFT DBT GT IDD IPT TELE * STG * CLF MC MD PI SCJJ SF SMHA * SS * CO PEFP PTSD SMI * STU * HS PEER * SMPD * YAD ADLT SNR * AH * VPPD * COOT FPSY SEMP SH CM SPS
Cherokee Etowah Dekalb CMHC,Cherokee County Office,200 Dean Buttram Senior Avenue,,Centre,AL,35960,256-492-7800,,,,,SA MH SUMH * OP * CMHC * CHLOR FLUPH HALOP PERPH ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ PALIP QUETI RISPE ZIPRA ANTPYCH * CBT CFT DBT GT IDD IPT TELE AIM * CIT PEON WI * PVTN * CMHG MC MD MI PI SCJJ SEF SF SI SMHA SWFS VAF * SS * SED * PEER * TCC * SMPD * CHLD YAD ADLT SNR * AH * VPPD * COOT ICM CM
Cherokee Etowah Dekalb CMHC,White/Parker Home Specialized,---,,Centre,AL,35960,256-492-7800,256-927-2687,,,,SA MH SUMH * RES * RTCA * CHLOR FLUPH HALOP PERPH ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ PALIP QUETI RISPE ZIPRA ANTPYCH * AT CBT CFT DBT GT IDD IPT TELE AIM * CIT PEON * PVTN * CMHG MC MD MI OSF PI SF SI SMHA VAF * SMI * STU * HS * TCC * SMPD * YAD ADLT SNR * AH * VPPD * COOT DEC FPSY PRS VRS CM SPS ES
AltaPointe Health Systems Inc,Community Counseling/Washington Cnty,63 Dixie Youth Drive,,Chatom,AL,36518,251-277-9173,251-450-2211,,,,SA MH SUMH * OP * OMH * FLUPH HALOP LOXAP PERPH ARIPI CARIP CLOZA OLANZ OLANZF PALIP QUETI RISPE NRT ANTPYCH * CBT CFT DBT IDD IPT TELE AIM * CIT PEOFF WI * PVTN * CMHG MC MD OSF PI SF SI SMHA SWFS * SE CO TRMA PTSD SED SMI * STU * MST LABT * TCC * SMON * CHLD YAD ADLT SNR * AH * VAPN * CDM COOT DEC FPSY IMR SEMP CM SPS
Birmingham VA Healthcare System,Childersburg VA Clinic,151 9th Avenue NW,,Childersburg,AL,35044,256-378-9026,205-957-5300,,,,SA MH SUMH * OP * VAHC * FLUPH HALOP ARIPI ASENA CLOZA LURAS OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * CBT CFT DBT GT IDD IPT AIM * CIT PEON WI * FED VAMC * MC MI PI VAF * VET * STU * HIVT STDT TBS MST HBT HCT LABT * PEER * TCC * SMON * YAD ADLT SNR * AH * VAPN * FPSY IPC SPS
Central Alabama Wellness,,110 Medical Center Drive,,Clanton,AL,35045,205-651-0077,,,,,SA MH SUMH * OP * OMH * CHLOR FLUPH HALOP CLOZA OLANZ RISPE ANTPYCH * AT CBT CFT DBT GT IDD IPT TELE * PVTN * CLF CMHG MC MD PI SCJJ SF SMHA * SS * CO PEFP PTSD SED SMI * STU * PEER * SMPD * CHLD YAD ADLT SNR * AH * VPPD * COOT FPSY SH VRS CM SPS
WellStone Inc,,1909 Commerce Avenue NW,,Cullman,AL,35055,256-734-4688,256-255-1020,,,,SA MH SUMH * OP PHDT * CMHC * HALOP THIOT THIOR ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * CBT CRT DBT GT IDD IPT TELE AIM * CIT PEON PEOFF WI * LCCG * CLF CMHG FG MC MD MI PI PCF SCJJ SEF SF SMHA SWFS * SS * VET ADM MF TRMA PEFP SED SMI * STU * TBS * HS PEER * TCC * SMPD * CHLD YAD ADLT SNR * AH * VPPD * ACT AOT COOT FPSY ICM IMR PRS SH CM SPS
East Pointe Hospital,,7400 Roper Lane,,Daphne,AL,36526,251-378-6500,251-450-2211,,,,SA MH SUMH * HI * PSY * CHLOR FLUPH HALOP NRT ANTPYCH * CBT CFT DBT GT IDD IPT TELE AIM * CIT PEON WI * PVTN * CLF CMHG MC MD MI OSF PI SF SI * SE CO TRMA PTSD SMI * STU * MST LABT * PEER * TCC * SMON * YAD ADLT SNR * VAPN * CDM COOT DEC FPSY IMR SEMP CM IPC SPS
MHCNCA Inc,Decatur Morgan Counseling Center,4110 U.S. Highway 31 South,,Decatur,AL,35603,256-260-1691,800-365-6008,256-355-5904,,,MH SUMH * OP PHDT * CMHC * HALOP PERPH ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ PALIP QUETI RISPE ZIPRA ANTPYCH * CBT CFT DBT GT IPT TELE AIM * CIT * PVTN * CLF CMHG CSBG MC MD OSF PI SF SI SMHA * TAY SE CJ CO SMI * STU * PEER * SMPD * YAD ADLT SNR * AH * VPPD * ACT COOT FPSY CM
MHCNCA Inc,The Albany Clinic for Children,1315 13th Avenue SE,,Decatur,AL,35601,256-260-7306,256-355-5904,800-365-6008,,,MH SUMH * OP PHDT * CMHC * HALOP ARIPI ASENA BREXP CARIP LURAS OLANZ PALIP QUETI RISPE ZIPRA ANTPYCH * CBT CFT DBT GT IPT TELE AIM * PVTN * CLF CMHG CSBG MD OSF PI SCJJ SF SI SMHA SWFS * CO SED * STU * PEER * SMON * CHLD * AH * VAPN * COOT FPSY CM
West Alabama Mental Health Center,,1215 South Walnut Avenue,,Demopolis,AL,36732,334-289-2410,800-239-2901,,,,SA MH SUMH * OP * CMHC * FLUPH HALOP PERPH ARIPI ASENA BREXP CLOZA OLANZ PALIP QUETI RISPE ZIPRA ANTPYCH * AT CBT CFT GT IDD IPT TELE AIM * CIT WI * PVTN * CLF CMHG CSBG MC MD MI OSF PI SCJJ SF SI SMHA SWFS VAF * PA SS * CO SMI * HS * SMON * CHLD YAD ADLT SNR * AH * VAPN * COOT FPSY ICM SEMP SH CM SPS
West Alabama Mental Health Center,,1401 U.S. Highway 80 East,,Demopolis,AL,36732,334-217-0010,800-239-2901,334-289-2410,,,SA MH SUMH * OP PHDT * RTCA * CBT GT IPT TELE * PVTN * CLF CMHG CSBG MC MD MI OSF PI SCJJ SF SI SMHA SWFS VAF * PA SS * CO SMI * PEER * SMON * YAD ADLT SNR * AH * VAPN * COOT ICM PRS SEMP SH CM SPS
West Alabama Mental Health Center,Springhill Home,1304 Old Springhill Road,,Demopolis,AL,36732,334-289-3270,800-239-2901,334-289-2410,,,MH * RES * RTCA * FLUPH HALOP PERPH ARIPI ASENA BREXP CLOZA OLANZ PALIP QUETI RISPE ZIPRA ANTPYCH * AT CBT GT IDD IPT TELE AIM * PVTN * FQHC * CLF CMHG CSBG MC MD MI OSF PI SCJJ SF SI SMHA SWFS VAF * PA SS * SMI * HS PEER * SMON * YAD ADLT SNR * AH * VAPN * COOT ICM PRS SEMP SH CM SPS
Whitfield Regional Hospital IPF,Gerpsych/Adult Psych,105 Highway 80 East,,Demopolis,AL,36732,334-289-4000 x2507,334-212-2220,,,,MH * HI PHDT * IPSY * CHLOR DROPE FLUPH HALOP LOXAP PERPH ARIPI BREXP CARIP CLOZA LURAS OLANZ PALIP QUETI RISPE NRT NSC ANTPYCH * AT CBT CRT GT IPT AIM * CIT PEON WI * LCCG * CLF ITU MC MD MI PI PCF SCJJ SF SI SMHA SWFS VAF * SE GL VET ADM CJ HV TRMA ALZ PEFP PTSD SMI * STU * HIVT STDT TBS MST LABT * TCC * SMON * YAD ADLT SNR * AH * VAPN * CDM COOT DEC ICM IMR CM IPC SPS ES
Central Alabama VA Healthcare System,Dothan Mental Health Clinic,3753 Ross Clark Circle,Suite 4,Dothan,AL,36303,334-503-7819 x47801,,,,,SA MH SUMH * OP * VAHC * CHLOR FLUPH HALOP LOXAP PERPH PIMOZ PROCH THIOT THIOR TRIFL ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * CBT DBT GT IDD IPT TELE * CIT WI * FED VAMC * FQHC * MI PI SF VAF * SE GL VET CO HV DV TRMA TBI PTSD SMI * STU * HIVT STDT TBS MST HBT HCT LABT * HS PEER * TCC * SMON * YAD ADLT SNR * AH * VAPN * DEC IMR LAD SEMP SH VRS IPC SPS ES
Laurel Oaks Behavioral Health Center,,700 East Cottonwood Road,,Dothan,AL,36301,334-794-7373 x237,334-794-7373,866-320-3613,,,MH SUMH * HI RES * PSY * CHLOR FLUPH HALOP LOXAP PROCH TRIFL ARIPI ASENA BREXP CARIP CLOZA LURAS OLANZ OLANZF QUETI RISPE ZIPRA ANTPYCH * AT CBT CFT DBT GT IDD IPT * WI * PVTP * CLF MD MI OSF PI SCJJ SEF SF SI SMHA SWFS VAF * MF TRMA PTSD SED * LABT * HS * SMON * CHLD * AH SP * VAPN * CDM FPSY ICM PRS CM IPC SPS ES
Southeast Alabama Medical Center,Behavioral Medicine Center,1108 Ross Clark Circle,Suite 702,Dothan,AL,36301,334-793-8111 x5482,334-793-8800,,,,SA MH * HI OP * IPSY * NSC * AT DBT GT IPT * PEON * PVTN * MC MD MI PI SCJJ SF SI VAF * TAY SE GL VET ADM MF CJ CO HV TRMA ALZ PED PTSD SMI * STU * SMON * YAD ADLT SNR * VAPN * COOT CM ES
SpectraCare Health Systems,Adult Outpatient Program,1672 Columbia Highway,,Dothan,AL,36302,800-951-4357,,,,,SA MH SUMH * OP * CMHC * CHLOR FLUPH HALOP ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ PALIP QUETI RISPE ZIPRA ANTPYCH * CBT CFT GT IDD IPT TELE * CIT WI * PVTN * CLF CMHG MC MD MI OSF PI SF SMHA SWFS VAF * SS * SE VET ADM MF CJ CO TRMA PTSD SMI * STU * PEER * SMPD * YAD ADLT SNR * AH * VPPD * ACT COOT FPSY PRS CM SPS
SpectraCare Health Systems,Childrens Outpatient Services,440 Honeysuckle Road,,Dothan,AL,36305,334-712-2720,,,,,MH * OP * CMHC * CHLOR FLUPH HALOP PERPH ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * CBT GT IPT TELE * CIT PEON * PVTN * CMHG MD MI PI SF SI * PA SS * TAY MF TRMA PTSD SED SMI * STU * PEER * TCC * SMPD * CHLD YAD * AH SP * VPPD * FPSY ICM CM SPS
SpectraCare Health Systems,Houston County Day Treatment,134 Prevatt Road,,Dothan,AL,36303,800-951-4357,,,,,MH SUMH * OP * CMHC * CHLOR FLUPH HALOP ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ PALIP QUETI RISPE ZIPRA ANTPYCH * CBT CFT DBT GT IDD IPT TELE * PEON * PVTN * CLF CMHG MC MD MI OSF PI SF SMHA * SS * SE CO SMI * SMPD * YAD ADLT SNR * AH * VPPD * ACT COOT FPSY PRS VRS CM ES
SpectraCare Health Systems,Intermediate Care Home,140 Prevatt Road,,Dothan,AL,36301,334-793-4020,334-794-0731,,,,MH * PHDT RES * CMHC * CHLOR FLUPH HALOP ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ PALIP QUETI RISPE ZIPRA ANTPYCH * CBT GT IPT TELE * PEON * PVTN * CMHG MC MD PI SF * SE VET ALZ SMI * SMPD * YAD ADLT SNR * AH * VPPD * CDM DEC FPSY IMR
SpectraCare Health Systems,Middleton RSC Home,2694 South Park Avenue,,Dothan,AL,36301,334-792-3202,,,,,SA MH * RES * RTCA * CHLOR FLUPH HALOP ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ PALIP QUETI RISPE ZIPRA ANTPYCH * AT CBT GT IPT * PEON * PVTN * MC MD PI SF SI * SE VET SMI * HS * SMPD * YAD ADLT SNR * AH * VPPD * COOT DEC CM ES
Mountain Lakes Behavioral Healthcare,Residential Care Home,---,,Dutton,AL,35744,256-228-3361,256-259-1774,,,,SA MH SUMH * OP RES * NSC ANTPYCH * AT CBT GT IDD IPT TELE * PEOFF * PVTN * MC MD SF SMHA * TAY SE GL CJ CO TRMA PTSD SMI * STU * SMPD * YAD ADLT SNR * VAPN * COOT FPSY PRS CM
Mountain Lakes Behavioral Healthcare,Sue Bolt Foster Home,---,,Dutton,AL,35744,256-228-6514,256-259-1774,,,,SA MH SUMH * OP RES * NSC ANTPYCH * AT CBT GT IDD IPT TELE * PEOFF * PVTN * MC MD SF SMHA * SE GL CO TRMA ALZ PTSD SMI * STU * SMPD * ADLT SNR * VAPN * COOT FPSY PRS CM
South Central Alabama MHC,Coffee Cnty Mental Health Center,2861 Neal Metcalf Road,,Enterprise,AL,36330,334-347-0212,877-530-0002,,,,SA MH SUMH * OP PHDT * CMHC * CHLOR FLUPH HALOP THIOT THIOR TRIFL ARIPI ASENA BREXP CLOZA LURAS OLANZ PALIP QUETI RISPE ZIPRA ANTPYCH * AT CBT CFT GT IPT TELE AIM * CIT PEON PEOFF WI * PVTN * CMHG MC MD MI PI SF SMHA SWFS VAF * PA SS * SE SMI * STU * TBS LABT * SMOP * YAD ADLT SNR * AH * VAPP * COOT FPSY PRS SH CM SPS
SpectraCare Health Systems,Barbour County Clinic,133 North Orange Avenue,,Eufaula,AL,36027,800-951-4357,,,,,SA MH SUMH * OP * CMHC * CHLOR FLUPH HALOP ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ PALIP QUETI RISPE NRT NSC ANTPYCH * CBT CFT GT IDD IPT TELE * PEON WI * PVTN * CLF CMHG MC MD MI OSF PI SCJJ SF SMHA SWFS VAF * SS * TAY SE GL VET ADM MF CJ CO HV ALZ PTSD SED SMI * STU * TCC * SMPD * CHLD YAD ADLT SNR * AH * VPPD * ACT COOT DEC FPSY IMR PRS SH CM SPS ES
West Alabama Mental Health Center,Greene County,301 Prairie Avenue,,Eutaw,AL,35462,205-372-3106,800-239-2901,334-289-2410,,,SA MH SUMH * OP * CMHC * FLUPH HALOP PERPH ARIPI ASENA BREXP CLOZA OLANZ PALIP QUETI RISPE ZIPRA ANTPYCH * AT CBT CFT GT IDD IPT TELE AIM * CIT * PVTN * CLF CMHG CSBG MC MD MI OSF PI SCJJ SF SI SMHA SWFS VAF * PA SS * CO SMI * HS * SMON * CHLD YAD ADLT SNR * AH * VAPN * COOT FPSY ICM SEMP SH CM SPS
Health Connect America,,115 Fairground Road,,Florence,AL,35630,256-712-2822,,,,,SA MH SUMH * OP * OMH * AT CBT CFT DBT GT IDD IPT TELE * PVTP * CLF MD OSF PI SF * TAY VET ADM TRMA PTSD * STU * PEER * TCC * SMPD * CHLD YAD ADLT SNR * AH * VPPD * COOT FPSY TPC CM SPS ES
Cherokee Etowah Dekalb CMHC,Dekalb County Office,301 14th Street NW,,Fort Payne,AL,35967,256-492-7800,,,,,SA MH SUMH * OP * CMHC * CHLOR FLUPH HALOP PERPH ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ PALIP QUETI RISPE ZIPRA ANTPYCH * CBT CFT DBT GT IDD IPT TELE AIM * CIT PEON WI * PVTN * CLF CMHG MC MD MI PI SCJJ SEF SF SI SMHA SWFS VAF * SS * SED * PEER * SMPD * CHLD YAD ADLT SNR * AH * VPPD * COOT FPSY ICM TPC CM SPS
DeKalb Regional Medical Center,,200 Medical Center Drive SW,,Fort Payne,AL,35968,256-845-3150 x2725,256-997-2725,256-845-3150 x2732,,,MH * HI * IPSY * CHLOR FLUPH HALOP LOXAP PERPH PIMOZ THIOT THIOR TRIFL ARIPI ASENA CLOZA ILOPE LURAS OLANZ OLANZF PALIP RISPE ZIPRA NRT NSC ANTPYCH * AT GT IPT TELE AIM * PEON * PVTP * CLF CMHG CSBG ITU MC MD MI OSF PI SCJJ SEF SF SI SMHA SWFS VAF * SE ALZ * STU * MST LABT * HS * TCC * SMON * SNR * AH * VAPN * DEC FPSY PRS CM IPC SPS ES
Frantz Therapeutic Residential Home,Frantz Home,---,,Gadsden,AL,35901,256-492-7800,,,,,SA MH SUMH * RES * RTCA * CHLOR FLUPH HALOP PERPH ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ PALIP QUETI RISPE ZIPRA ANTPYCH * AT CBT CFT DBT GT IDD IPT TELE AIM * CIT PEON * PVTN * CMHG MC MD MI PI SF SI SMHA VAF * CJ SMI * STU * HS * TCC * SMPD * YAD ADLT SNR * AH * VPPD * COOT DEC FPSY PRS VRS CM SPS ES
Riverview Regional Medical Center,Senior Heights,600 South 3rd Street,,Gadsden,AL,35901,256-543-5200,256-543-5721,256-543-5200 x5641,,,MH * HI * IPSY * CHLOR FLUPH HALOP PERPH ARIPI CLOZA OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT GT IPT AIM * PEON * PVTP * MC MD MI PI SF VAF * SE GL VET MF TRMA ALZ PEFP PTSD * STU * HIVT STDT TBS MST HBT HCT LABT * TCC * SMON * SNR * AH * VAPN * CDM DEC ICM CM IPC SPS
